iso,year,crop,yield,area,production,yield_trend,yield_anom_pct,spei3_gs,spei6_gs,spei12_gs,spi6_gs,spei12_ann,gs_t,gs_p,gs_t_z,gs_p_z,ann_t,ann_p,t_max_gs_z,spei3_min_gs,oni_djf,oni_mam,oni_jja,price_usd_t,price_lcu_t,spei6_gs_lag1,yield_anom_lag1
ROU,2020,Potatoes,15849.2,101030.0,1601240.0,15708.440127517595,0.8960779768057715,-0.34554984536742067,-0.6867168845135053,-1.6612712564824579,-0.187111459023478,-0.9536926308187491,19.035,315.63,-0.08666667783350147,0.2687962497304341,11.279166666666667,628.13,0.6793870452542614,-1.192279380236864,0.64,0.3,-0.36,186.1,790.0,-1.2536413958878867,-3.4194338047809634
ROU,2021,Potatoes,16536.6,84530.0,1397840.0,15796.426642333576,4.68570123120629,-0.6378263785115541,0.21066738750923905,0.15489287758463202,0.5712019921004479,0.3516843198860721,19.4125,319.69,0.37685168177189676,0.33372571290629993,10.294166666666667,692.61,1.4062633418886348,-0.6378263785115541,-0.91,-0.55,-0.35,230.7,960.0,-0.6867168845135053,0.8960779768057715
ROU,2022,Potatoes,16661.9,80770.0,1345780.0,15883.767840004191,4.898914211249292,-2.1554214311171433,-2.1166570050398423,-2.0095166813253322,-1.9546125816820505,-2.089653572129233,20.482499999999998,194.98000000000002,1.6906653103222886,-1.6606962951385817,11.158333333333333,512.07,1.1252045071900079,-2.5600359419662375,-0.82,-0.95,-0.76,317.8,1490.0,0.21066738750923905,4.68570123120629
ROU,1992,Rye,1455.4,14588.0,21232.0,1875.3045064226285,-22.391270590163906,-1.2681857613053933,-1.227676812747645,-1.3382558882246116,-1.2480596346326873,-1.3380247702773302,18.7575,230.49,-0.4273987170136273,-1.0928033795289775,9.464166666666666,519.74,1.3384215542027595,-1.2681857613053933,1.71,1.29,0.37,,,1.6469493751278867,-27.15466403146602
ROU,1993,Rye,1564.8,25824.0,40409.0,1876.6332380343827,-16.616631940346643,-0.36572135414620843,-0.05571471332536863,-0.33329233279160736,-0.31605273522602584,-0.17886734911601357,18.145,251.05,-1.1794649296184108,-0.7639980192098148,8.884166666666667,588.14,-2.179659721507606,-0.8422988331379114,0.09,0.67,0.32,177.1,134570.0,-1.227676812747645,-22.391270590163906
ROU,1994,Rye,1781.4,28742.0,51201.0,1879.2190608956607,-5.205303784490073,-0.7377306422324719,-1.024820561759605,-0.9773310397783478,-0.6887477571439349,-1.5273929199495149,18.8625,256.99,-0.29847308056709265,-0.669002696238228,10.549166666666666,537.34,0.175419479587763,-0.993289799574994,0.06,0.31,0.44,122.8,203290.0,-0.05571471332536863,-16.616631940346643
ROU,1995,Rye,2074.5,20597.0,42728.0,1884.0354347251834,10.109394004184367,0.2902615915633148,0.1429299148202037,-0.28638571275951147,0.22307240578247192,0.8438990865391803,18.3975,318.89,-0.869429470544601,0.32093173001450354,9.35,709.6700000000001,0.3886365266005114,-0.5304781088595859,0.96,0.3,-0.24,105.3,214200.0,-1.024820561759605,-5.205303784490073
ROU,1996,Rye,1262.3,16034.0,20240.0,1892.1631407318753,-33.28799336447537,-0.9595425901325528,-0.7900105349500194,0.2266857875389005,-1.0518883942722057,0.4336074992693868,18.6625,247.17000000000002,-0.5440457214176331,-0.8260488362350263,9.044166666666667,655.67,-1.9179842547192323,-1.3516036364621167,-0.9,-0.39,-0.27,153.1,472260.0,0.1429299148202037,10.109394004184367
ROU,1997,Rye,1854.9,15857.0,29413.0,1903.8435916724675,-2.570777971811853,1.3968635891216694,1.5463863127180888,1.658683807064232,1.4136273376278545,1.3488616721819038,17.9875,370.89,-1.3728533842882107,1.1525406179812572,8.773333333333333,721.37,-2.354110032699859,0.6423536594687607,-0.5,0.28,1.6,146.1,1047250.0,-0.7900105349500194,-33.28799336447537
ROU,1998,Rye,1933.4,13493.0,26088.0,1918.700948568067,0.766093926356952,0.12929513148683852,0.19469722480018462,0.4555405181515574,0.3221890719579839,0.8894690729946219,18.377499999999998,322.09000000000003,-0.8939867346296589,0.37210766158168906,9.361666666666666,720.99,-1.1426495383092368,-0.8014121240022212,2.24,0.99,-0.78,111.9,992820.0,1.5463863127180888,-2.570777971811853
ROU,1999,Rye,1853.3,11381.0,21092.0,1936.3648183098592,-4.289729782550052,0.05316785351477076,0.029497603296893316,1.0756003925267332,0.4837469083402219,0.6389335901167695,18.87,310.15,-0.28926410653519696,0.18115746692162976,10.0575,725.36,0.19480284749801255,-0.2189626448834211,-1.55,-0.98,-1.1,100.2,1535950.0,0.19469722480018462,0.766093926356952
ROU,2000,Rye,1579.4,13804.0,21802.0,1956.9765086283273,-19.293870261783365,-1.9296067654446263,-2.155610715898351,-1.4001979674722813,-2.3042235320428337,-2.437657067118225,19.2725,162.07,0.20495083317651716,-2.1870087663498485,10.510833333333332,446.27,0.039735904216012766,-2.112455339647884,-1.66,-0.81,-0.55,154.1,3345780.0,0.029497603296893316,-4.289729782550052
ROU,2001,Rye,2333.2,12271.0,28631.0,1980.9318104092076,17.782953847261556,0.3539309964990561,0.2311161373623761,-0.7002394447598304,0.7375179608674683,0.34537659726544145,18.8375,303.46000000000004,-0.3291696606734129,0.0741677849889849,9.8325,696.55,0.09788600794676139,-0.11551074446495387,-0.68,-0.34,-0.08,145.2,4218750.0,-2.155610715898351,-19.293870261783365
